pre_left_L,pre_left_a,pre_left_b,pre_right_L,pre_right_a,pre_right_b,post_left_0_L,post_left_0_a,post_left_0_b,post_left_1_L,post_left_1_a,post_left_1_b,post_right_0_L,post_right_0_a,post_right_0_b,post_right_1_L,post_right_1_a,post_right_1_b
82,1,16,123,6,7,78,11,75,86,0,14,60,121,28,102,0,5
97,6,10,145,3,9,90,31,38,95,0,3,75,200,22,99,0,1
106,22,20,138,15,8,76,48,110,102,2,30,85,286,24,104,0,8
77,59,69,129,15,36,94,75,104,101,4,52,70,192,22,111,1,41
64,89,202,146,8,28,63,60,103,113,18,79,87,99,29,106,4,62
55,406,370,135,99,117,76,95,228,77,33,118,83,61,28,95,12,101
60,230,265,113,54,40,68,94,218,97,49,147,71,48,55,99,31,134
59,380,238,101,88,42,67,120,171,79,99,135,72,54,60,85,59,201
44,393,330,92,207,56,79,114,138,94,105,219,70,40,66,82,111,320
44,364,399,124,282,101,95,85,214,88,155,460,78,70,84,92,267,401
57,281,286,90,325,177,68,124,267,101,156,564,72,77,94,101,410,471
49,227,335,68,347,181,98,172,271,94,245,768,57,75,159,76,489,637
34,126,352,75,426,449,73,176,411,69,340,929,71,65,220,47,417,685
52,140,450,89,390,272,78,192,450,60,268,889,84,86,325,81,478,588
23,142,407,60,394,306,75,209,660,77,181,629,87,116,360,69,401,750
39,175,736,59,370,389,77,201,919,66,175,624,96,129,637,88,324,1206
44,124,1081,87,350,493,82,299,1057,65,266,577,103,197,838,88,231,666
41,194,1093,72,219,665,85,291,928,37,259,383,62,200,1006,75,248,696
30,189,732,64,184,680,69,307,744,66,453,374,55,251,942,72,269,473
31,299,597,72,185,528,76,339,810,42,552,301,55,350,1125,60,406,399
30,351,341,66,204,615,78,456,761,51,800,349,57,483,952,90,510,296
28,632,401,47,278,580,49,717,438,42,981,336,65,719,739,70,655,185
20,1054,592,78,416,791,57,883,327,39,1181,250,72,997,669,77,926,171
23,958,418,41,621,606,39,1050,190,28,953,213,80,1114,338,73,1084,189
21,1053,291,78,851,673,42,1074,50,39,692,261,88,1267,164,74,932,254
21,992,146,41,1062,722,31,901,16,23,569,183,53,838,110,70,791,160
30,653,19,23,1320,617,33,495,16,26,527,141,54,599,40,95,433,141
28,462,18,62,728,457,30,520,15,28,432,155,73,486,16,95,284,187
13,180,0,25,499,272,32,300,5,25,235,418,64,182,12,72,165,137
26,96,0,16,198,270,26,189,7,31,245,132,47,133,10,72,157,106
19,20,0,4,65,78,19,100,4,21,137,78,43,89,14,37,92,68
31,11,0,8,41,41,23,83,0,25,106,89,76,51,9,52,56,67
27,9,0,8,37,40,34,64,0,10,86,115,82,17,0,34,63,86
28,11,0,10,37,24,21,59,0,27,52,88,49,32,0,47,46,221
26,9,0,5,19,2,16,44,0,20,40,48,53,22,0,42,37,129
